id,scope,kind,old,declared_at,where_persisted,decision,decision_ref,notes
packages-core-ts-prop-d71d93f1,packages-core,ts-prop,bypass,packages/core/src/fluxo/modelos.ts:39,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-dea1b0bd,packages-core,ts-prop,cabecalhos,packages/core/src/fluxo/contexto.ts:113,jsonb:processHttpExecucao.pedido,,D-09,jsonb:processHttpExecucao.pedido
packages-core-ts-prop-317bb3c2,packages-core,ts-prop,campo,packages/core/src/score/motor.ts:31,jsonb:regraPrioridade.condicao;jsonb:regraScore.condicao;jsonb:transicao.condicao,,D-09,jsonb:regraPrioridade.condicao;jsonb:regraScore.condicao;jsonb:transicao.condicao
packages-core-ts-prop-9c72a8bd,packages-core,ts-prop,chamarHttp,packages/core/src/fluxo/contexto.ts:144,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-84d93df1,packages-core,ts-prop,combinador,packages/core/src/score/motor.ts:37,jsonb:regraPrioridade.condicao;jsonb:regraScore.condicao;jsonb:transicao.condicao,,D-09,jsonb:regraPrioridade.condicao;jsonb:regraScore.condicao;jsonb:transicao.condicao
packages-core-ts-prop-4ba75817,packages-core,ts-prop,comparison,packages/core/src/fluxo/condicao.ts:45,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-41c008c1,packages-core,ts-prop,condicoes,packages/core/src/score/motor.ts:38,jsonb:regraPrioridade.condicao;jsonb:regraScore.condicao;jsonb:transicao.condicao,,D-09,jsonb:regraPrioridade.condicao;jsonb:regraScore.condicao;jsonb:transicao.condicao
packages-core-ts-prop-a46f887c,packages-core,ts-prop,conditions,packages/core/src/fluxo/modelos.ts:18,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-f6d6609c,packages-core,ts-prop,conditions,packages/core/src/fluxo/modelos.ts:40,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-a1d874ce,packages-core,ts-prop,conditions,packages/core/src/fluxo/modelos.ts:49,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-31c5af83,packages-core,ts-prop,configuration,packages/core/src/fluxo/modelos.ts:94,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-287d4cb3,packages-core,ts-prop,contato,packages/core/src/fluxo/contexto.ts:171,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-65881adf,packages-core,ts-prop,conteudo,packages/core/src/fluxo/contexto.ts:52,jsonb:execucaoFluxo.contexto;jsonb:execucaoPasso.entrada;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto;jsonb:processHttpExecucao.entrada,,D-09,jsonb:execucaoFluxo.contexto;jsonb:execucaoPasso.entrada;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto;jsonb:processHttpExecucao.entrada
packages-core-ts-prop-03ea4c8e,packages-core,ts-prop,conteudo,packages/core/src/fluxo/contexto.ts:98,jsonb:execucaoPasso.saida,,D-09,jsonb:execucaoPasso.saida
packages-core-ts-prop-511e9480,packages-core,ts-prop,conteudoSerializado,packages/core/src/fluxo/contexto.ts:74,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-bce7b637,packages-core,ts-prop,continueOnError,packages/core/src/fluxo/modelos.ts:21,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-2c185345,packages-core,ts-prop,corpo,packages/core/src/fluxo/contexto.ts:114,jsonb:processHttpExecucao.pedido,,D-09,jsonb:processHttpExecucao.pedido
packages-core-ts-prop-6fde6f82,packages-core,ts-prop,corpo,packages/core/src/fluxo/contexto.ts:120,jsonb:processHttpExecucao.contexto;jsonb:processHttpExecucao.resposta,,D-09,jsonb:processHttpExecucao.contexto;jsonb:processHttpExecucao.resposta
packages-core-ts-prop-e56d331f,packages-core,ts-prop,de,packages/core/src/fluxo/contexto.ts:53,jsonb:execucaoFluxo.contexto;jsonb:execucaoPasso.entrada;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto;jsonb:processHttpExecucao.entrada,,D-09,jsonb:execucaoFluxo.contexto;jsonb:execucaoPasso.entrada;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto;jsonb:processHttpExecucao.entrada
packages-core-ts-prop-e777eb7d,packages-core,ts-prop,encaminharParaAtendimento,packages/core/src/fluxo/contexto.ts:138,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-b7e1180c,packages-core,ts-prop,end,packages/core/src/fluxo/modelos.ts:60,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-3672edb9,packages-core,ts-prop,entidades,packages/core/src/fluxo/contexto.ts:76,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-000b0ccc,packages-core,ts-prop,entity,packages/core/src/fluxo/condicao.ts:44,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-6bfaf1b6,packages-core,ts-prop,entradaContexto,packages/core/src/fluxo/contexto.ts:169,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-823117e2,packages-core,ts-prop,entrada,packages/core/src/fluxo/contexto.ts:165,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-5f250457,packages-core,ts-prop,enviar,packages/core/src/fluxo/contexto.ts:137,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-ac15f6a6,packages-core,ts-prop,error,packages/core/src/fluxo/modelos.ts:34,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-272fe5c6,packages-core,ts-prop,estadoId,packages/core/src/fluxo/contexto.ts:127,jsonb:processHttpExecucao.contexto,,D-09,jsonb:processHttpExecucao.contexto
packages-core-ts-prop-1c7a17f4,packages-core,ts-prop,executeAsynchronously,packages/core/src/fluxo/modelos.ts:22,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-1d8f8f7a,packages-core,ts-prop,expiration,packages/core/src/fluxo/modelos.ts:42,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-5d40acec,packages-core,ts-prop,fluxo,packages/core/src/fluxo/contexto.ts:164,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-803e6b39,packages-core,ts-prop,id,packages/core/src/fluxo/contexto.ts:50,jsonb:execucaoFluxo.contexto;jsonb:execucaoPasso.entrada;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto;jsonb:processHttpExecucao.entrada,,D-09,jsonb:execucaoFluxo.contexto;jsonb:execucaoPasso.entrada;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto;jsonb:processHttpExecucao.entrada
packages-core-ts-prop-650b77c5,packages-core,ts-prop,id,packages/core/src/fluxo/contexto.ts:58,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-88bba272,packages-core,ts-prop,id,packages/core/src/fluxo/contexto.ts:65,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-773c3562,packages-core,ts-prop,id,packages/core/src/fluxo/modelos.ts:15,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-03575b67,packages-core,ts-prop,id,packages/core/src/fluxo/modelos.ts:58,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-c6a065cb,packages-core,ts-prop,id,packages/core/src/fluxo/modelos.ts:85,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-43603fd4,packages-core,ts-prop,indice,packages/core/src/fluxo/contexto.ts:128,jsonb:processHttpExecucao.contexto,,D-09,jsonb:processHttpExecucao.contexto
packages-core-ts-prop-5ad46390,packages-core,ts-prop,inputActions,packages/core/src/fluxo/modelos.ts:61,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-70f14608,packages-core,ts-prop,inputActions,packages/core/src/fluxo/modelos.ts:90,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-9b3bdf20,packages-core,ts-prop,input,packages/core/src/fluxo/modelos.ts:62,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-4a10e068,packages-core,ts-prop,intencao,packages/core/src/fluxo/contexto.ts:75,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-4e07c278,packages-core,ts-prop,lista,packages/core/src/fluxo/contexto.ts:126,jsonb:processHttpExecucao.contexto,,D-09,jsonb:processHttpExecucao.contexto
packages-core-ts-prop-109ff024,packages-core,ts-prop,localCustomActions,packages/core/src/fluxo/modelos.ts:66,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-971514bc,packages-core,ts-prop,mensagem,packages/core/src/fluxo/contexto.ts:72,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-3bfc216c,packages-core,ts-prop,metadados,packages/core/src/fluxo/contexto.ts:99,jsonb:execucaoPasso.saida,,D-09,jsonb:execucaoPasso.saida
packages-core-ts-prop-150f58a0,packages-core,ts-prop,metodo,packages/core/src/fluxo/contexto.ts:111,jsonb:processHttpExecucao.pedido,,D-09,jsonb:processHttpExecucao.pedido
packages-core-ts-prop-0144be18,packages-core,ts-prop,name,packages/core/src/fluxo/contexto.ts:59,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-ad02b2dd,packages-core,ts-prop,name,packages/core/src/fluxo/contexto.ts:66,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-11068bca,packages-core,ts-prop,operador,packages/core/src/score/motor.ts:32,jsonb:regraPrioridade.condicao;jsonb:regraScore.condicao;jsonb:transicao.condicao,,D-09,jsonb:regraPrioridade.condicao;jsonb:regraScore.condicao;jsonb:transicao.condicao
packages-core-ts-prop-ef9df008,packages-core,ts-prop,operator,packages/core/src/fluxo/condicao.ts:46,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-af3c8df8,packages-core,ts-prop,order,packages/core/src/fluxo/modelos.ts:17,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-244a559f,packages-core,ts-prop,order,packages/core/src/fluxo/modelos.ts:48,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-e60ab38a,packages-core,ts-prop,outputActions,packages/core/src/fluxo/modelos.ts:63,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-4ed06596,packages-core,ts-prop,outputActions,packages/core/src/fluxo/modelos.ts:92,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-b57e4499,packages-core,ts-prop,outputs,packages/core/src/fluxo/modelos.ts:65,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-2bc8ae03,packages-core,ts-prop,para,packages/core/src/fluxo/contexto.ts:54,jsonb:execucaoFluxo.contexto;jsonb:execucaoPasso.entrada;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto;jsonb:processHttpExecucao.entrada,,D-09,jsonb:execucaoFluxo.contexto;jsonb:execucaoPasso.entrada;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto;jsonb:processHttpExecucao.entrada
packages-core-ts-prop-a4c246b7,packages-core,ts-prop,provedores,packages/core/src/fluxo/contexto.ts:173,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-3a4bd1ea,packages-core,ts-prop,redirecionar,packages/core/src/fluxo/contexto.ts:152,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-69910828,packages-core,ts-prop,regex,packages/core/src/fluxo/modelos.ts:32,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-688b44f9,packages-core,ts-prop,registrarEvento,packages/core/src/fluxo/contexto.ts:142,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-db9102d0,packages-core,ts-prop,resposta,packages/core/src/fluxo/contexto.ts:129,jsonb:processHttpExecucao.contexto,,D-09,jsonb:processHttpExecucao.contexto
packages-core-ts-prop-6ddac7f4,packages-core,ts-prop,root,packages/core/src/fluxo/modelos.ts:59,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-1da2ef72,packages-core,ts-prop,rule,packages/core/src/fluxo/modelos.ts:31,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-ab89436e,packages-core,ts-prop,score,packages/core/src/fluxo/contexto.ts:60,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
