endpoint,method,response_source,keys_affected,decision,decision_ref,notes
/v1/canais/instagram/:id,DELETE,mapped,canal fields (CanalInstagramVisivel),rename-with-db-key,D-09,desconectarInstagram mapped; controladores/canais-instagram.ts:48-57 | evidence: apps/api/src/controladores/canais-instagram.ts:48
/v1/conversas/:id,GET,mapped,id;estado;prioridade;criada_em;atribuida_em;primeira_resposta_em;encerrada_em;ultima_mensagem_em;ultima_mensagem_de;janela_expira_em;canal_tipo;fila;atendente;contato,rename-with-db-key,D-45,"D-45 owner decision: renamed (was keep, API-key endpoint; no real customers, D-43). API-key endpoint (conversas:ler); controladores/conversas.ts:139-162 | evidence: apps/api/src/controladores/conversas.ts:139"
/v1/conversas,GET,mapped,id;estado;prioridade;criada_em;atribuida_em;primeira_resposta_em;encerrada_em;ultima_mensagem_em;ultima_mensagem_de;janela_expira_em;canal_tipo;fila;atendente;contato,rename-with-db-key,D-45,"D-45 owner decision: renamed (was keep, API-key endpoint; no real customers, D-43). API-key endpoint (conversas:ler); comoConversa explicit mapper, controladores/conversas.ts:85-137,424-445 | evidence: apps/api/src/controladores/conversas.ts:85"
/v1/convites/:token,GET,mapped,email;papel;tenant;expiraEm,rename-with-db-key,D-09,"public token link, internal Pipe flow only, no external system depends on this JSON shape; controladores/convites.ts:83-91 | evidence: apps/api/src/controladores/convites.ts:82"
/v1/crm/contato/:contatoId,GET,mapped,ficha.nome;ficha.email;ficha.empresa;ficha.link,rename-with-db-key,D-09,"own literal mapper, not Twenty field names; controladores/crm.ts:63-107 | evidence: apps/api/src/controladores/crm.ts:63"
/v1/crm/dicionario,GET,raw-rows,defaultValue;options;settings;relation;morphRelations,persisted,D-09,"dominio/dicionario-crm.ts:399-416 spreads tx.select().from(dicionarioObjeto/dicionarioCampo) with no column list (bare .select()) - the only bare-select raw-Drizzle-row endpoint found in the API; defaultValue/options/settings/relation/morphRelations are jsonb columns (packages/db/src/schema/automacao.ts:619-624), listed in persisted.csv (persisted-wire-06..10); the row also carries codigo/rotulo/descricao/tipo/consultavel/agregavel (Pipe-owned PT fields, non-jsonb, candidates for rename-with-db-key in 01-10) and twentyId/namePlural/labelPlural/icon/isCustom/isActive/isSystem/isRemote/applicationId (non-jsonb, mirror Twenty CRM Metadata API field names verbatim per file docstring ""nada inventado, tudo copiado"" - frozen naming constraint, not persisted.csv material since not jsonb; 01-08/01-10 to formalize as keep) | evidence: apps/api/src/controladores/crm.ts:43"
/v1/desk/canais,GET,raw-rows,canais.id;canais.nome;canais.tipo;canais.templates,rename-with-db-key,D-09,"listarCanaisComModelos spreads unmapped row {...c, templates}, consultas.ts:589-600; controladores/desk.ts:152-161 | evidence: apps/api/src/controladores/desk.ts:152"
/v1/desk/contatos/:id,GET,mapped,contato (FichaDoContato);historico,rename-with-db-key,D-09,"carregarContato/listarHistoricoDoContato explicit mapping, consultas.ts:559-586; controladores/desk.ts:137-149 | evidence: apps/api/src/controladores/desk.ts:137"
/v1/desk/contatos,GET,mapped,contatos (ContatoDaLista[]),rename-with-db-key,D-09,"listarContatos explicit .map, consultas.ts:519-548; controladores/desk.ts:124-134 | evidence: apps/api/src/controladores/desk.ts:124"
/v1/desk/conversas/:id,GET,raw-rows,templates.id;templates.nome;templates.categoria;templates.corpo;templates.variaveis;etiquetasDaConversa.id;etiquetasDaConversa.nome;etiquetasDoContato.id;etiquetasDoContato.nome;etiquetasDoContato.cor,rename-with-db-key,D-09,controladores/desk.ts:97-110; listarTemplatesAprovados/listarEtiquetasDaConversa (consultas.ts:277-323 return rows) and listarEtiquetasDoContato (dominio/etiquetas.ts:214-227 return rows) unmapped; templates.variaveis is templateMensagem.variaveis jsonb -> also persisted-flagged in notes for 01-10 | evidence: apps/api/src/controladores/desk.ts:90
/v1/desk/fila,GET,raw-rows,colegas.id;colegas.nome;respostas.id;respostas.escopo;respostas.categoria;respostas.atalho;respostas.titulo;respostas.corpo,rename-with-db-key,D-09,"controladores/desk.ts:78-86 aggregates listarColegas (dominio/desk/consultas.ts:365-370, return rows) and listarRespostasProntas (consultas.ts:263-276, return rows) unmapped; conversas/aguardando/status/motivos/etiquetas sub-fields are mapped | evidence: apps/api/src/controladores/desk.ts:72"
/v1/desk/filas,GET,raw-rows,filas.id;filas.nome,rename-with-db-key,D-09,"listarFilas, consultas.ts:495-500 return rows; controladores/desk.ts:116-121 | evidence: apps/api/src/controladores/desk.ts:114"
/v1/desk/metricas,GET,mapped,metricas;status,rename-with-db-key,D-09,"carregarMetricas + carregarStatus, both mapped; controladores/desk.ts:185-211 | evidence: apps/api/src/controladores/desk.ts:185"
/v1/desk/tickets/:id,GET,raw-rows,etiquetas.id;etiquetas.nome,rename-with-db-key,D-09,"ticket/itens/status mapped; listarEtiquetasDaConversa unmapped, consultas.ts:311-323; controladores/desk.ts:164-178 | evidence: apps/api/src/controladores/desk.ts:164"
/v1/etiquetas,GET,mapped,id;nome;cor;escopo;obrigatoriaNoEncerramento,rename-with-db-key,D-09,"listarEtiquetasDoTenant explicit .map, dominio/etiquetas.ts:40-63 | evidence: apps/api/src/controladores/etiquetas.ts:45"
/v1/eu,GET,mapped,usuario.id;usuario.nome;usuario.email;usuario.avatarUrl;tenant.id;tenant.nome;tenant.slug;tenant.plano;tenant.onboardingConcluido;permissoes;origem,rename-with-db-key,D-09,"controladores/entrar.ts:376-447; permissoes array VALUES are seeded permissao.codigo (persisted, out of scope for this wire key rename - handled by 01-08 literal-value classification) | evidence: apps/api/src/controladores/entrar.ts:374"
/v1/filas,GET,mapped,id;nome;cor;ordem;ativa;capacidade_padrao;aguardando;em_atendimento,rename-with-db-key,D-45,"D-45 owner decision: renamed (was keep, API-key endpoint; no real customers, D-43). API-key endpoint (Escopos filas:ler); controladores/catalogo.ts:316-330 | evidence: apps/api/src/controladores/catalogo.ts:272"
/v1/gestao/atendentes/filas,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-cadastros.ts:101"
/v1/gestao/atendentes/gestao,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-cadastros.ts:94"
/v1/gestao/atendentes/pausas,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-cadastros.ts:108"
/v1/gestao/atendentes/permissoes,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-cadastros.ts:461"
/v1/gestao/cabecalho,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-operacao.ts:123"
/v1/gestao/canais,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-cadastros.ts:133"
/v1/gestao/comunicacao/modelos,GET,jsonb,variaveis,persisted,D-09,"templateMensagem.variaveis jsonb passthrough via lerVariaveis, dominio/gestao/comunicacao.ts:118-141 | evidence: apps/api/src/controladores/gestao-cadastros.ts:115"
/v1/gestao/comunicacao/respostas-prontas,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-cadastros.ts:126"
/v1/gestao/configuracoes/dados,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-cadastros.ts:147"
/v1/gestao/configuracoes/gerais,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-cadastros.ts:154"
/v1/gestao/configuracoes/palavras-proibidas,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-cadastros.ts:366"
/v1/gestao/configuracoes/regras,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-cadastros.ts:140"
/v1/gestao/contrato/certificados,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-conta.ts:176"
/v1/gestao/contrato/membros,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-conta.ts:88"
/v1/gestao/contrato/resumo,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-conta.ts:81"
/v1/gestao/fluxos/:id/analise/dashboard,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-analise.ts:107"
/v1/gestao/fluxos/:id/analise/jornada,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-analise.ts:186"
/v1/gestao/fluxos/:id/analise/log,GET,jsonb,data.metadata,persisted,D-09,"mensagem.dados aliased ""metadata"" and passed through, dominio/gestao-analise.ts:460-522 (mapped envelope, metadata field is jsonb passthrough) | evidence: apps/api/src/controladores/gestao-analise.ts:236"
/v1/gestao/fluxos/:id/analise/mensagens-ativas,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-analise.ts:140"
/v1/gestao/fluxos/:id/analise/relatorios,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-analise.ts:216"
/v1/gestao/fluxos/:id/analise/visao-geral,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-analise.ts:167"
/v1/gestao/fluxos/:id/boas-vindas,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-fluxo.ts:304"
/v1/gestao/fluxos/:id/builder/versoes,GET,mapped,id;versao;estado;blocos;publicadaEm;publicadaPor;criadoEm;atualizadoEm,rename-with-db-key,D-09,"VersaoDoFluxo.blocos is a count (number), not content, packages/contracts/src/gestao-fluxo.ts:342; listarVersoes, builder-do-fluxo.ts:568-581 | evidence: apps/api/src/controladores/gestao-builder.ts:79"
/v1/gestao/fluxos/:id/builder,GET,jsonb,desenho,persisted,D-09,"BuilderDoFluxo.desenho renders bloco.conteudo jsonb per block, dominio/gestao/builder-do-fluxo.ts:173-260; packages/contracts/src/gestao-fluxo.ts BuilderDoFluxo | evidence: apps/api/src/controladores/gestao-builder.ts:38"
/v1/gestao/fluxos/:id/canal,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-fluxo.ts:254"
/v1/gestao/fluxos/:id/chaves,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-integracoes.ts:69"
/v1/gestao/fluxos/:id/conexao,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-integracoes.ts:116"
/v1/gestao/fluxos/:id/contatos/:contatoId,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-fluxo.ts:371"
/v1/gestao/fluxos/:id/contatos,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-fluxo.ts:360"
/v1/gestao/fluxos/:id/conteudos,GET,jsonb,modelos.variaveis,persisted,D-09,"carregarModelos jsonb passthrough, controladores/gestao-fluxo.ts:415-432 | evidence: apps/api/src/controladores/gestao-fluxo.ts:421"
/v1/gestao/fluxos/:id/equipe/eu,GET,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-equipe.ts:62"
